ozone;T6;T9;T12;T15;T18;N6;N9;N12;N15;N18;VVENT
22.2;17.1;17.1;20.2;20.4;20.1;7;8;7;7;4;-0.5209
47.4;15.8;20.9;25.5;27.1;25.4;7;1;0;7;7;0.9397
52;18.7;22.6;26.6;29.2;27.6;6;6;7;4;4;-4.5963
20.6;18.4;21.7;25.9;24;22.3;8;2;4;7;5;-2.5712
22;16.3;20.1;23;23.3;21.7;5;4;5;3;4;-6.0622
32.8;18.1;21.1;23.2;26;26;7;8;8;7;8;-2.5712
69.6;18.6;25.3;30.7;33.1;32.4;4;3;1;1;3;5.1962
38.6;20.4;21.6;28.7;29.3;26.8;8;7;5;6;9;-3
21.6;18.6;21.4;24.2;26.3;22.5;7;3;3;3;3;0
26.8;17.2;21.2;25.1;25.7;22.9;7;1;5;6;5;1.0261
44.2;16.3;21.8;27.2;28.4;24.3;5;6;7;7;9;3.0642
74.8;16.9;22.6;27.9;29.9;27.9;0;1;4;3;5;3
53.6;20;23.8;26.4;24.1;21.3;6;7;8;8;10;3.9392
23.6;15.3;18.3;21;21.6;18;7;8;6;7;7;0.8682
26;13;15.6;20.5;21;19.6;2;7;3;7;9;0
36.2;15.7;17.7;20.9;19.5;20.1;7;7;7;7;8;-1.8794
38;15.1;17.9;19.9;19.7;18.3;7;6;5;5;2;0.8682
50.4;11.2;17.6;21.1;22.6;20.9;1;1;3;3;3;1.0261
58.6;11.5;18.8;24.3;26.2;25.2;5;6;4;1;3;2.5981
59.2;13.4;19.9;25.3;26.2;21.2;5;7;7;6;4;-1.0261
18.2;13.5;16.3;17.2;17.7;17.2;7;7;8;8;9;-1.7101
31.8;14.8;17.2;21;24.3;22.2;5;4;1;3;6;-3
18.6;18.1;20.4;21.9;22.4;21.3;8;8;8;6;6;-4.5963
31.8;12.5;18.4;21.5;23.9;21.2;4;4;1;1;3;0.3473
78.2;8.7;15.7;19.5;20.2;17.8;3;4;4;4;4;-0.766
45.2;11;15.9;17.6;19.5;17.6;8;7;7;7;9;-1.0261
77.2;11.5;15;16.7;17.3;16;1;5;3;2;4;-1.3892
74;8.6;15.3;16.5;18.2;16;1;5;7;6;3;2
63.8;7.8;14.2;16.1;15.9;14.4;2;8;8;8;9;-1.9284
45.8;11.8;13.2;16;16.5;15.3;8;8;7;7;9;-2
64.6;11.9;13.6;15.2;16.5;14.9;2;8;6;6;9;2.5
60;10.8;13.4;14.8;14.4;14.4;5;7;7;6;6;0.8682
81;7.7;14.2;16.7;16.6;16.7;0;5;7;7;5;0.8682
65.6;9.9;16;18.5;20.6;19.8;7;6;4;2;3;1.0419
54.6;10.4;14.5;21.4;24.7;21.2;8;2;1;1;6;-1.5321
49.6;12.9;15.7;17;14.6;14.2;7;8;8;8;10;-4.5963
33.2;15.8;16.9;17.1;16.9;17.6;7;8;8;7;8;0.3473
66.6;14.4;18.3;21.6;24.2;23.8;7;6;3;6;9;-1.5
60.8;15.1;20.3;22.3;25.3;21.5;7;7;8;7;9;-1
56.4;15.3;18.6;23;24.4;22.8;8;3;1;1;3;2
63.6;15.4;19;22.4;21.5;21.4;5;7;6;7;9;-4.6985
53.6;17.2;18;22.3;24.8;23.1;8;8;7;7;9;-3.5
69.6;15;21;24.9;27;26.9;6;5;6;5;5;-3.9392
104.2;18;20.2;27.2;30.6;30.3;8;7;3;3;5;0
123.4;19.2;27.6;33.1;34.9;34.1;0;1;1;3;5;1.8794
80.6;18.8;23.2;24.3;25.7;21.9;6;0;0;0;3;-1.7101
70.6;16.3;19.6;21.4;21.7;19.3;6;2;1;1;2;2.7362
105.6;11.3;20;23.4;25.8;24.2;0;0;0;0;3;1.9696
117.2;13.9;22.9;28.1;30.1;29.2;1;1;0;0;2;3.9392
128;18.4;26.1;31;32.6;31.7;1;4;3;5;9;6.8937
96.4;19.3;23.7;24.6;24.1;21.6;7;5;6;7;8;-5.1423
48;17.1;17.8;21.3;22.4;21;8;8;7;6;9;-5.1962
56.8;19.6;20.5;22.4;25.4;26.2;8;8;8;3;3;-1.7321
98.2;17;23.3;28;30.2;29.2;9;3;1;0;4;2.5981
114.6;15.9;25.9;30.7;31.1;29.9;1;1;3;3;4;1.7321
138.8;19.2;25.4;29.6;30.7;28.9;2;0;4;5;6;1.0261
60.2;13.9;15.5;17.6;18.6;17;7;7;8;8;9;-1.7321
86.8;10.5;13.4;17.1;17.7;15.6;3;7;5;6;8;-3.7588
81.2;10.9;13.6;15.5;15.6;15.3;7;7;7;7;7;0
90.2;7.7;14.6;18.7;21;19.5;0;1;2;1;4;-2
90;13.8;17.9;21.9;24;23.6;7;2;1;1;3;1
139;15.7;22.8;26.8;28.2;27.7;1;1;1;1;4;2.2981
139.6;18.5;26.2;30.8;31.8;30;3;4;4;1;2;0.684
130;19.3;27;30.6;31.6;26.1;0;0;0;1;3;-0.8682
94.6;13.3;12.6;12.6;12.8;14.1;7;8;8;8;7;0
86.8;9.9;16.9;21.4;23.2;23.1;2;4;3;2;3;-1.5
80;15.9;18.7;22.1;24;22.1;6;6;5;6;9;0
60;14.2;20.2;23.7;24.8;22.9;0;1;2;1;2;-3.2139
78.2;16;18.4;18.4;20.7;18.9;6;5;7;2;2;1.3681
121;12.5;19.7;22.6;24.3;23.5;0;1;0;0;2;4.3301
111.2;14;19.3;23.1;25.3;24.4;1;3;2;1;3;5.1962
129.4;15;21.4;25.3;27.3;26.6;3;5;5;4;5;6.8937
54.8;13;15.4;18.6;22.2;20.9;8;7;7;7;8;1.0261
33.6;17.3;19.1;21;22.1;22.8;7;7;7;7;8;-1.5321
57.2;17;18.6;23.1;26.2;24.1;8;7;3;1;4;-0.3473
96.4;17.7;19.5;24.4;26.8;27.3;8;7;6;6;6;3.4641
105.6;15.4;20.5;24.5;27;26.3;0;0;0;0;3;6.5778
114.4;15.3;22;25.9;28.6;28.2;1;0;0;0;2;4.924
119.8;15.2;22.7;27.2;29.3;28.4;1;2;2;0;3;4.6985
126.2;15.2;22.9;26.9;29.5;29;3;3;2;1;3;3.9392
151.4;14.1;24.2;29.2;31;30.3;1;3;1;1;3;1.2856
143.2;14.8;24.5;31.3;31.9;30.9;2;2;1;1;2;1.9696
134.4;18.2;27.1;32.2;33.8;33.6;0;0;1;1;3;3.0642
117.8;16.7;21;25.7;26.4;22.7;1;4;2;5;8;-4.924
69;16;19.6;22.1;22.7;20;7;6;5;3;4;-1.7101
103.6;12.5;20.7;24.6;26;23.7;1;1;5;3;3;2.8191
127.8;13.5;19.9;25.5;27.8;24.3;3;2;3;3;4;3.8302
67.2;16.3;18.8;22.4;23.5;22.2;7;7;6;7;7;0.8682
46.2;14.4;19.2;22.7;23.3;23.3;6;4;7;7;8;-2.5981
65.6;17.7;19.3;24.2;25.5;22;8;7;6;6;9;-3.9392
66.8;17.1;19.4;21;24.3;23.8;8;7;7;5;6;-1.9696
